Pose,Real_Class,Docking_score
CHEMBL1081073_size_20_004,Inactive,-6.1
CHEMBL1081073_size_20_005,Inactive,-5.7
CHEMBL1081206_size_20_001,Inactive,-6.7
CHEMBL1081207_size_20_001,Inactive,-5.1
CHEMBL1081223_size_20_001,Inactive,-5.7
CHEMBL1081224_size_20_001,Inactive,-2.9
CHEMBL1081224_size_20_002,Inactive,-2.7
CHEMBL1081241_size_20_001,Inactive,-5
CHEMBL1081241_size_20_002,Inactive,-3
CHEMBL1081353_size_20_001,Inactive,-9.1
CHEMBL1081353_size_20_002,Inactive,-8.7
CHEMBL1081353_size_20_003,Inactive,-6.2
CHEMBL1081380_size_20_001,Inactive,-6.3
CHEMBL1081380_size_20_002,Inactive,-6
CHEMBL1081387_size_20_001,Inactive,-6.4
CHEMBL1081387_size_20_002,Inactive,-4.7
CHEMBL1081387_size_20_003,Inactive,-3.6
CHEMBL1081391_size_20_001,Inactive,-7.7
CHEMBL1081391_size_20_002,Inactive,-5.7
CHEMBL1081410_size_20_001,Inactive,-6.4
CHEMBL1081424_size_20_001,Inactive,-9.4
CHEMBL1081424_size_20_002,Inactive,-9.3
CHEMBL1081591_size_20_001,Inactive,-9.2
CHEMBL1081591_size_20_002,Inactive,-9.2
CHEMBL1081591_size_20_003,Inactive,-6.7
CHEMBL1081600_size_20_001,Inactive,-6.5
CHEMBL1081600_size_20_002,Inactive,-5.1
CHEMBL1081601_size_20_001,Inactive,-5.7
CHEMBL1081601_size_20_002,Inactive,-4.4
CHEMBL1081602_size_20_001,Inactive,-6.9
CHEMBL1081602_size_20_002,Inactive,-5.1
CHEMBL1081603_size_20_001,Inactive,-9.4
CHEMBL1081603_size_20_002,Inactive,-8.4
CHEMBL1081729_size_20_001,Inactive,-6.4
CHEMBL1081729_size_20_002,Inactive,-4.8
CHEMBL1081730_size_20_001,Inactive,-3.9
CHEMBL1081749_size_20_001,Inactive,-3.9
CHEMBL1081750_size_20_001,Inactive,-5.6
CHEMBL1081750_size_20_002,Inactive,-2.9
CHEMBL1081751_size_20_001,Inactive,-6.9
CHEMBL1081756_size_20_001,Inactive,-8.7
CHEMBL1081756_size_20_002,Inactive,-8
CHEMBL1081763_size_20_001,Inactive,-5.7
CHEMBL1081764_size_20_001,Inactive,-4.9
CHEMBL1081764_size_20_002,Inactive,-2.9
CHEMBL1081771_size_20_001,Inactive,-7.6
CHEMBL1081771_size_20_002,Inactive,-5.3
CHEMBL1081771_size_20_003,Inactive,-5
CHEMBL1081786_size_20_001,Inactive,-6.5
CHEMBL1081786_size_20_002,Inactive,-4.4
CHEMBL1081786_size_20_003,Inactive,-4
CHEMBL1081917_size_20_001,Inactive,-6.6
CHEMBL1081917_size_20_002,Inactive,-5.3
CHEMBL1081917_size_20_003,Inactive,-4.9
CHEMBL1081926_size_20_001,Inactive,-5.9
CHEMBL1081926_size_20_002,Inactive,-3.2
CHEMBL1081949_size_20_001,Inactive,-9.2
CHEMBL1081949_size_20_002,Inactive,-7.2
CHEMBL1081950_size_20_001,Inactive,-5.7
CHEMBL1081950_size_20_002,Inactive,-5.1
CHEMBL1081950_size_20_003,Inactive,-4.3
